widthL,heightL
0,0.00415599058077301
0.0793016785210882,0.124090459637946
0.109044106346111,0.202420557609207
0.127923385882088,0.273300067798257
0.136797311606631,0.311830597894875
0.131242082675326,0.346484795902603
0.125742400296011,0.36430691927209
0.121644528407005,0.353362672371357
0.11804929150962,0.342418425470625
0.113307715781414,0.323366554478478
0.102834183990049,0.287019258171624
0.0921454624593702,0.243809530168778
0.079786886719542,0.194886318594434
0.0644106105222555,0.144433608683102
0.0490343343249689,0.121823519986591
0.0264578563295286,0.115721817544092
0.0142675705542065,0.162779665681828
0.009961494696565,0.238038414505147
0.00600748928550757,0.305666016396549
0.002139184692893,0.339198625272429
